word_key,normalised_word,display_word,dialect_code,source_data_status,kuperman_source_name,kuperman_source_url,kuperman_match_status,kuperman_matched_form,kuperman_raw_aoa,brysbaert_biemiller_source_name,brysbaert_biemiller_source_url,brysbaert_biemiller_match_status,brysbaert_biemiller_matched_form,brysbaert_biemiller_raw_aoa,current_age_band,proposed_age_band,review_status,review_notes
allowed_en_gb,allowed,allowed,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
aloud_en_gb,aloud,aloud,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
alphabet_en_gb,alphabet,alphabet,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
angle_en_gb,angle,angle,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
animal_en_gb,animal,animal,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
ankle_en_gb,ankle,ankle,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
answer_en_gb,answer,answer,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
antique_en_gb,antique,antique,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
apple_en_gb,apple,apple,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
are_en_gb,are,are,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
argument_en_gb,argument,argument,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
