word_key,repair_type,expected_active_metadata_count,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at
govern_en_gb,metadata_add,0,2,/ˈɡʌvən/,,primary-unstressed,TRUE,govern: root:govern,Reviewed base-word pilot metadata for govern → governor → government.,,internal_authored,Katie base-word family pilot review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,Human-approved base-word pilot morphology metadata.,medium,approved_for_first_exposure,Katie Sanderson,2026-07-26
governor_en_gb,metadata_add,0,3,/ˈɡʌvənə/,,primary-unstressed-unstressed,TRUE,governor: root:govern + suffix:or,Reviewed base-word pilot metadata for govern → governor → government.,,internal_authored,Katie base-word family pilot review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,Human-approved base-word pilot morphology metadata.,medium,approved_for_first_exposure,Katie Sanderson,2026-07-26
