word_key,repair_type,expected_active_metadata_count,expected_active_metadata_sha256,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at
govern_en_gb,metadata_replace,1,773e5f2fb84fed4ef235347f67a61bd10f441ea5ce2c5092681b796178ff17d3,2,/ˈɡʌvən/,,primary-unstressed,TRUE,govern: root:govern,Reviewed base-word pilot metadata for govern → governor → government.,,internal_authored,Katie base-word family pilot review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,Human-approved base-word pilot morphology metadata.,medium,approved_for_first_exposure,Katie Sanderson,2026-07-26
governor_en_gb,metadata_replace,1,26cda9300ce325b2bfded433e5d93f16920df5466f021fe1e54eb03620711245,3,/ˈɡʌvənə/,,primary-unstressed-unstressed,TRUE,governor: root:govern + suffix:or,Reviewed base-word pilot metadata for govern → governor → government.,,internal_authored,Katie base-word family pilot review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,Human-approved base-word pilot morphology metadata.,medium,approved_for_first_exposure,Katie Sanderson,2026-07-26
